index,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback,avg_set_margin,tiebreak_count,lead_changes,bp_saved_ratio,bp_total
185087,Us Open,20210830,SF,214.0,4-6 6-2 6-4 4-6 6-2,Novak Djokovic,Alexander Zverev,1.1964285714285714,2,2.8,0,3,0.5714285714285714,21.0
182639,Us Open,20200831,SF,203.0,3-6 2-6 6-3 6-4 6-3,Alexander Zverev,Pablo Carreno Busta,1.193859649122807,3,3.0,0,1,0.6052631578947368,38.0
125881,Wimbledon,20010625,SF,180.0,2-6 6-3 3-6 6-2 8-6,Patrick Rafter,Andre Agassi,1.1906249999999998,2,3.2,0,3,0.625,24.0
181195,US Open,20190826,F,290.0,7-5 6-3 5-7 4-6 6-4,Rafael Nadal,Daniil Medvedev,1.1830808080808082,1,2.2,2,2,0.6944444444444444,36.0
151366,Roland Garros,20090525,SF,208.0,6-3 7-5 5-7 4-6 6-4,Robin Soderling,Fernando Gonzalez,1.1776363636363638,1,2.2,2,2,0.64,25.0
135376,Roland Garros,20040524,F,211.0,0-6 3-6 6-4 6-1 8-6,Gaston Gaudio,Guillermo Coria,1.161549707602339,3,3.6,0,1,0.42105263157894735,38.0
164687,Australian Open,20140113,SF,211.0,6-3 6-7(1) 7-6(3) 7-6(4),Stan Wawrinka,Tomas Berdych,1.1466666666666667,0,1.5,3,2,0.8,5.0
168807,Roland Garros,20150524,SF,249.0,6-3 6-3 5-7 5-7 6-1,Novak Djokovic,Andy Murray,1.1442028985507247,1,3.0,2,2,0.6086956521739131,23.0
160971,US Open,20120827,F,294.0,7-6(10) 7-5 2-6 3-6 6-2,Andy Murray,Novak Djokovic,1.140800865800866,1,2.8,2,2,0.5151515151515151,33.0
156948,Roland Garros,20110522,F,220.0,7-5 7-6(3) 5-7 6-1,Rafael Nadal,Roger Federer,1.06,0,2.5,3,2,0.6,30.0
182115,Australian Open,20200120,F,239.0,6-4 4-6 2-6 6-3 6-4,Novak Djokovic,Dominic Thiem,1.0544871794871795,2,2.6,0,2,0.5833333333333334,24.0
175054,Wimbledon,20170703,SF,176.0,6-7(6) 6-4 7-6(3) 7-5,Marin Cilic,Sam Querrey,0.9813725490196079,0,1.5,3,1,0.6470588235294118,17.0
138853,Wimbledon,20050620,SF,179.0,6-7(6) 6-2 7-6(10) 7-6(5),Andy Roddick,Thomas Johansson,0.9484126984126985,0,1.75,3,1,0.5555555555555556,9.0
129110,Wimbledon,20020624,SF,198.0,7-6(2) 6-4 1-6 2-6 6-2,David Nalbandian,Xavier Malisse,0.9466964285714287,1,3.2,1,2,0.6857142857142857,35.0
182878,Roland Garros,20200928,SF,234.0,6-3 6-2 5-7 4-6 6-1,Novak Djokovic,Stefanos Tsitsipas,0.9456925675675676,1,3.2,1,2,0.6756756756756757,37.0
173471,Australian Open,20170116,SF,184.0,7-5 6-3 1-6 4-6 6-3,Roger Federer,Stan Wawrinka,0.9452380952380952,1,3.0,1,2,0.6190476190476191,21.0
151524,Wimbledon,20090622,SF,187.0,6-4 4-6 7-6(7) 7-6(5),Andy Roddick,Andy Murray,0.9333333333333333,0,1.5,2,2,0.6666666666666666,12.0
168808,Roland Garros,20150524,SF,226.0,6-3 6-7(1) 7-6(3) 6-4,Stan Wawrinka,Jo-Wilfried Tsonga,0.930357142857143,0,1.75,2,2,0.875,32.0
169099,Wimbledon,20150629,F,176.0,7-6(1) 6-7(10) 6-4 6-3,Novak Djokovic,Roger Federer,0.9134453781512606,0,1.75,2,2,0.7058823529411765,17.0
166244,Wimbledon,20140623,SF,182.0,6-4 3-6 7-6(2) 7-6(7),Novak Djokovic,Grigor Dimitrov,0.9075630252100841,0,1.75,2,2,0.6470588235294118,17.0
156947,Roland Garros,20110522,SF,219.0,7-6(5) 6-3 3-6 7-6(5),Roger Federer,Novak Djokovic,0.9039473684210526,0,2.0,2,2,0.7894736842105263,38.0
135533,Wimbledon,20040621,SF,171.0,6-4 4-6 7-5 7-5,Andy Roddick,Mario Ancic,0.8989130434782608,0,2.0,2,2,0.7391304347826086,23.0
187388,Roland Garros,20220523,SF,187.0,7-6(8) 6-6 RET,Rafael Nadal,Alexander Zverev,0.8973684210526316,0,0.5,1,1,0.47368421052631576,19.0
